IMG_BLUR,58153.421193,58153.431915
IMG_HORIZEDGES,58153.432090,58153.450731
IMG_REGISTER,58153.460981,58153.461215
IMG_VERTEDGES,58153.510102,58153.529556
IMG_REGISTER,58153.566061,58153.566997
IMG_REGISTER,58153.608755,58153.609400
IMG_BLUR,58153.669923,58153.680600
IMG_SHARPEN,58153.740790,58153.760494
IMG_BLUR,58153.760676,58153.772178
IMG_BLUR,58153.790628,58153.801861
IMG_VERTEDGES,58153.858592,58153.877900
IMG_REGISTER,58153.928758,58153.929007
IMG_VERTEDGES,58153.913399,58153.932012
IMG_ROT90CLKW,58153.971797,58153.972964
IMG_BLUR,58153.990817,58154.001792
IMG_HORIZEDGES,58154.011674,58154.031728
IMG_HORIZEDGES,58154.031865,58154.050591
IMG_VERTEDGES,58154.050741,58154.069541
IMG_HORIZEDGES,58154.069721,58154.089540
IMG_ROT90CLKW,58154.119576,58154.120818
IMG_SHARPEN,58154.126546,58154.145769
IMG_ROT90CLKW,58154.145999,58154.147628
IMG_SHARPEN,58154.176962,58154.201014
IMG_ROT90CLKW,58154.284190,58154.285362
IMG_REGISTER,58154.350214,58154.350803
IMG_VERTEDGES,58154.387811,58154.408534
IMG_ROT90CLKW,58154.446755,58154.448018
IMG_REGISTER,58154.492664,58154.492954
IMG_HORIZEDGES,58154.478319,58154.499606
IMG_ROT90CLKW,58154.537795,58154.540075
IMG_ROT90CLKW,58154.563917,58154.565132
IMG_BLUR,58154.583089,58154.593949
IMG_HORIZEDGES,58154.597606,58154.616345
IMG_VERTEDGES,58154.616523,58154.635217
IMG_REGISTER,58154.667150,58154.667351
IMG_REGISTER,58154.703461,58154.704092
IMG_VERTEDGES,58154.729850,58154.749749
IMG_REGISTER,58154.768356,58154.768539
IMG_VERTEDGES,58154.784795,58154.805236
IMG_BLUR,58154.815669,58154.827038
IMG_REGISTER,58154.883577,58154.884206
IMG_HORIZEDGES,58154.907811,58154.927747
IMG_REGISTER,58155.041526,58155.041790
IMG_BLUR,58155.039606,58155.051138
IMG_REGISTER,58155.061964,58155.062952
IMG_BLUR,58155.053544,58155.065114
IMG_SHARPEN,58155.077634,58155.097528
IMG_SHARPEN,58155.098372,58155.118181
IMG_BLUR,58155.126099,58155.137029
IMG_REGISTER,58155.185109,58155.185966
IMG_SHARPEN,58155.163480,58155.191974
IMG_HORIZEDGES,58155.288959,58155.306848
IMG_VERTEDGES,58155.451267,58155.469360
IMG_BLUR,58155.553650,58155.565239
IMG_BLUR,58155.565421,58155.576509
IMG_REGISTER,58155.661408,58155.661817
IMG_ROT90CLKW,58155.706197,58155.707955
IMG_REGISTER,58155.890859,58155.891073
IMG_VERTEDGES,58155.907068,58155.927730
IMG_ROT90CLKW,58155.927828,58155.929306
IMG_VERTEDGES,58156.008392,58156.026139
IMG_SHARPEN,58156.026321,58156.046347
IMG_SHARPEN,58156.101560,58156.121429
IMG_SHARPEN,58156.171452,58156.190462
IMG_VERTEDGES,58156.191629,58156.209762
IMG_REGISTER,58156.212288,58156.212871
IMG_BLUR,58156.239534,58156.250961
IMG_ROT90CLKW,58156.251069,58156.252149
IMG_REGISTER,58156.361839,58156.362016
IMG_ROT90CLKW,58156.395999,58156.397571
IMG_BLUR,58156.455811,58156.466591
IMG_HORIZEDGES,58156.493694,58156.518947
IMG_ROT90CLKW,58156.545450,58156.547346
IMG_SHARPEN,58156.559229,58156.581852
IMG_HORIZEDGES,58156.594159,58156.613594
IMG_SHARPEN,58156.644491,58156.662987
IMG_BLUR,58156.663151,58156.674411
IMG_REGISTER,58156.674607,58156.674764
IMG_HORIZEDGES,58156.711118,58156.729772
IMG_BLUR,58156.730001,58156.741313
IMG_VERTEDGES,58156.741780,58156.759763
IMG_VERTEDGES,58156.836552,58156.854780
IMG_BLUR,58156.855016,58156.867290
IMG_BLUR,58156.867358,58156.878775
IMG_REGISTER,58156.896406,58156.896858
IMG_VERTEDGES,58157.167610,58157.184529
IMG_REGISTER,58157.191952,58157.192162
IMG_VERTEDGES,58157.247833,58157.266903
IMG_BLUR,58157.277274,58157.288564
IMG_HORIZEDGES,58157.290556,58157.308831
IMG_ROT90CLKW,58157.342292,58157.343397
IMG_HORIZEDGES,58157.361103,58157.380578
IMG_HORIZEDGES,58157.401961,58157.419757
IMG_ROT90CLKW,58157.419901,58157.421350
IMG_HORIZEDGES,58157.438280,58157.456578
IMG_HORIZEDGES,58157.465640,58157.484710
IMG_SHARPEN,58157.516432,58157.535407
IMG_VERTEDGES,58157.554478,58157.575669
IMG_REGISTER,58157.597257,58157.597464
IMG_ROT90CLKW,58157.646104,58157.647252
IMG_REGISTER,58157.697447,58157.697614
IMG_BLUR,58157.724612,58157.736418
IMG_BLUR,58157.789094,58157.799889
IMG_VERTEDGES,58157.922172,58157.941725
IMG_REGISTER,58158.001593,58158.001778
IMG_REGISTER,58158.018611,58158.019385
IMG_SHARPEN,58158.040854,58158.059889
IMG_BLUR,58158.062688,58158.073775
IMG_ROT90CLKW,58158.073892,58158.075287
IMG_HORIZEDGES,58158.101724,58158.120120
IMG_HORIZEDGES,58158.138171,58158.156714
IMG_SHARPEN,58158.280413,58158.304724
IMG_HORIZEDGES,58158.305733,58158.324826
